username,nombre,bio,posts,seguidores,seguidos,verificada,privada
feid,,,5989,5989,1411,False,False
ricardo_4v0,,,0,0,87,False,False
gonzaloplata,,,201,201,418,False,False
juandediospantoja,,,966,966,5126,False,False
mateo.balseca,,,286,286,966,False,False
antoniovalencia2525,,,2682,2682,1352,False,False
moises_caicedo55,,,430,430,534,False,False
vivian.juliethh,,,1,1,472,False,False
pcorcino,,,7200,7200,5,False,False
jbalvin,,,13455,13455,4031,False,False
efimeroescrito,,,3536,3536,42,False,False
danilocarrerah,,,128,128,3059,False,False
chefcarosanchez,,,1593,1593,2587,False,False
papayadada,,,586,586,550,False,False
jonathancruzjc7,,,555,555,655,False,False
karolg,,,3406,3406,2056,False,False
soymajoreina,,,514,514,999,False,False
willsmith,,,2416,2416,303,False,False
itsyoungmiko,,,101,101,332,False,False
av25clubdeportivo,,,1190,1190,189,False,False
latriecu,,,9178,9178,317,False,False
jhoanlopez,,,233,233,132,False,False
edumarurip,,,958,958,4041,False,False
joseandrescaballero,,,498,498,1999,False,False
cristhian_noboa,,,49,49,299,False,False
jimena.jimenezr,,,246,246,675,False,False
marilyn_jarrin,,,6,6,876,False,False
domelipa,,,231,231,488,False,False
barbie.pvmx,,,59,59,545,False,False
dfhn.8,,,1,1,261,False,True
angelito_mena_,,,415,415,1207,False,False
henrycavill,,,579,579,164,False,False
f07._._,,,0,0,207,False,False
soycintiacossio,,,84,84,174,False,False
vindiesel,,,2188,2188,88,False,False
gabydiazaragon,,,13450,13450,4556,False,False
jeabello,,,1808,1808,2246,False,False
thedonato,,,81,81,472,False,False
alexander_dominguez_22,,,400,400,267,False,False
nexargomez,,,340,340,956,False,False
haileesteinfeld,,,1668,1668,325,False,False
yosoydorawest,,,2474,2474,417,False,False
bigsotorius,,,72,72,1370,False,False
xavioficial,,,40,40,2178,False,False
maraaa_nav,,,0,0,507,False,False
juanpazurita,,,1947,1947,2450,False,False
lennytavarez,,,330,330,1699,False,False
malexaleon,,,749,749,783,False,False
natashanazario,,,227,227,853,False,False
danieljaller,,,256,256,1813,False,False
